,0
Europese Unie,16.186239732122328
Onderwijs,10.909256205515977
Bedrijfsleven & economie,10.351319831179342
Werk,8.9078489761274
Politiek & verkiezingen,6.210629297826855
Zorg,4.48619071962283
Consumenten,4.369885739729581
Rechtbank & rechter,3.4597551236031983
Woningmarkt,2.806891550944586
Cultuur & musea,2.3857885584616048
Duurzame energie,2.2392420663860904
Criminaliteit & geweld,1.9569199711640037
China,1.7906976436672644
Coronavirus,1.559218968479434
Belasting,1.5196253066057133
Natuur & dieren,1.4341808263676714
Politie,1.2567101792914728
Medicijnen,1.2194284879160064
Data & privacy & algoritmes,1.2190261880068367
Criminaliteit & drugs,1.1802048284726347
Asielzoekers & vluchtelingen,0.9239837252921891
Banken,0.9221534677571169
Klimaatverandering,0.8423397472218171
Verkeer,0.8396176588642082
Defensie,0.8278603051062985
Landbouw & boeren,0.6998418687164123
Demonstraties,0.5800022294143492
Wiet,0.5740085350887648
Vliegen,0.5633409634878587
Aanslagen & terrorisme,0.53992413763304
Oorlog & conflicten,0.5292914991906464
Discriminatie,0.5075244662985011
Olie & kolen & grijze energie,0.48447674771740173
Koningshuis,0.4750359043457748
Kernenergie,0.4474665635360045
Ruimtevaart,0.44581612152253663
Sport,0.41802725946435565
Mensenrechten,0.40856553435044995
Islam,0.35290155654034755
Voetbal,0.3169236574177615
Homoseksualiteit,0.3020008709323206
Prostitutie & mensenhandel,0.26566110109672925
Reizen & Openbaar vervoer,0.2642431740618437
Seksueel misbruik & seksualiteit,0.2541252208075443
Zwangerschap & abortus ,0.23725412431664872
Corruptie & fraude,0.22086876677099204
Pensioen,0.18861175093294294
Vakbonden,0.1698398888298633
Diplomatie,0.1511585011178207
Diefstal,0.11047186740254157
Scheepvaart,0.10497712162844028
Gas,0.09235012649425732
Christendom,0.0871981235506046
Inlichtingendienst,0.08566122292667522
Afval,0.08310936361043701
Branden & brandweer,0.06699419701940347
Vakantie & tourisme,0.06062082318285788
Festival & feesten,0.03789987411433341
Stikstof,0.03431732222541824
Veehouderijen & vlees,0.017882996909207603
Natuurramp & extreem weer,0.01659141161245994
Studielening,0.0
